編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2018-09-30 16:27:49,121.61,23.62,4.1,31.1,2,花蓮縣政府南方  41.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2018-09-29 19:52:39,121.85,24.42,3.6,17.1,3,宜蘭縣政府南偏東方  35.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2018-09-29 15:08:32,120.99,24.72,1.8,7.7,1,新竹縣政府南方  11.8  公里 (位於新竹縣寶山鄉)(新竹縣寶山鄉)
小區域有感地震,2018-09-25 20:27:05,121.48,23.94,2.9,20.4,4,花蓮縣政府西偏南方  15.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2018-09-23 17:09:01,120.7,23.18,3.8,10.3,3,高雄市政府東北方  73.6  公里 (位於高雄市那瑪夏區)(高雄市那瑪夏區)
小區域有感地震,2018-09-21 15:37:32,121.73,24.43,3.4,8.4,5,宜蘭縣政府南方  33.8  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2018-09-19 22:01:43,121.61,23.93,3.6,43.6,2,花蓮縣政府南偏西方  6.4  公里 (位於花蓮縣近海)(花蓮縣近海)
121   ,2018-09-18 04:08:17,121.01,24.02,4.4,18.4,3,南投縣政府東偏北方  35.4  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2018-09-17 01:17:09,121.39,24.83,3.2,10.6,2,桃園市政府南偏東方  20.5  公里 (位於桃園市復興區)(桃園市復興區)
小區域有感地震,2018-09-16 03:01:20,120.79,24.24,3.0,11.0,2,臺中市政府東北方  15.9  公里 (位於臺中市新社區)(臺中市新社區)
小區域有感地震,2018-09-15 01:13:55,120.19,23.02,2.7,14.6,2,臺南市政府北偏東方  3.6  公里 (位於臺南市北區)(臺南市北區)
小區域有感地震,2018-09-14 12:50:23,121.62,23.62,3.6,32.0,2,花蓮縣政府南方  41.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2018-09-14 09:08:21,121.01,24.0,3.6,17.3,2,南投縣政府東偏北方  33.7  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
小區域有感地震,2018-09-12 05:20:15,122.26,24.04,4.6,44.7,2,花蓮縣政府東方  65.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-09-12 03:58:20,120.77,22.19,3.0,7.9,5,屏東縣政府南偏東方  61.5  公里 (位於屏東縣牡丹鄉)(屏東縣牡丹鄉)
小區域有感地震,2018-09-12 03:42:11,120.77,22.19,2.9,7.1,4,屏東縣政府南偏東方  61.4  公里 (位於屏東縣牡丹鄉)(屏東縣牡丹鄉)
120   ,2018-09-11 12:43:26,121.52,23.87,4.5,10.3,5,花蓮縣政府西南方  16.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
119   ,2018-09-09 21:16:34,121.61,23.93,4.6,44.6,3,花蓮縣政府南方  6.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2018-09-09 21:11:30,120.2,23.02,2.9,13.7,2,臺南市政府北偏東方  3.6  公里 (位於臺南市北區)(臺南市北區)
小區域有感地震,2018-09-09 18:33:27,120.99,24.0,3.5,17.5,2,南投縣政府東偏北方  32.1  公里 (位於南投縣埔里鎮)(南投縣埔里鎮)
118   ,2018-09-08 14:50:39,121.72,24.31,4.4,26.5,4,花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2018-09-07 16:15:27,120.98,24.71,2.0,10.4,2,新竹縣政府南偏西方  13.5  公里 (位於新竹縣峨眉鄉)(新竹縣峨眉鄉)
小區域有感地震,2018-09-06 00:20:11,120.75,23.16,2.9,5.8,4,高雄市政府東北方  74.3  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2018-09-05 13:55:33,120.91,23.8,3.4,18.3,1,南投縣政府東偏南方  25.4  公里 (位於南投縣水里鄉)(南投縣水里鄉)
小區域有感地震,2018-09-05 01:53:10,122.05,23.51,4.3,32.8,3,花蓮縣政府東南方  68.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-09-05 01:45:56,121.01,24.67,2.2,6.4,2,新竹縣政府南方  17.6  公里 (位於新竹縣峨眉鄉)(新竹縣峨眉鄉)
小區域有感地震,2018-09-04 00:37:10,121.99,24.83,4.3,89.8,2,宜蘭縣政府東偏北方  25.9  公里 (位於臺灣東部海域)(臺灣東部海域)
117   ,2018-09-03 13:59:49,121.54,24.09,4.4,19.7,5,花蓮縣政府西北方  13.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
